Character,Dialogue,Season,Episode
HTTPS,//transcripts.foreverdreaming.org/ 05x01 - Say Good bye to Daisy,5,1
MILLERHTTPS,//transcripts.foreverdreaming.org/viewtopic.php?t=6383 05x01 - Say Good bye to Daisy Miller by bunniefuu written by Amy Sherman-Palladino directed by Amy Sherman-Palladino transcript by Patti Jo with assistance by,5,1
CANOPUSANNOUNCER,"When Last Season ended, a long awaited romance began, a marriage began to fall apart, and an unexpected mistake. Now as the new season begins, a new love grows, a reckless desire continues, and the Gilmores' unbreakable bond lies in jeopardy. And now, we'll take you back to the moment that changed everything. OPEN IN LORELAI GILMORE FRONT YARD",5,1
DEAN,"I love you, Rory.",5,1
RORY,"I love you, too, Dean.",5,1
RORY,Are you comfortable? Am I k*lling your arm?,5,1
DEAN,My arm is fine.,5,1
RORY,I could move.,5,1
DEAN,Don't you dare move.,5,1
RORY,"This right here, is -- the textbook definition of a perfect moment.",5,1
DEAN,"Yeah, it is.",5,1
RORY,And earlier?,5,1
DEAN,"That was pretty perfect too. However, as a guy, I was trying not to be a pig.",5,1
RORY,"And I'm happy, are you happy?",5,1
DEAN,I'm very happy.,5,1
RORY,"Happy, but not chatty?",5,1
POSTED,10/03/0422:29,5,1
DEAN,I'm just… trying to make sure that all this is really happening.,5,1
RORY,"It is. Hey, you know what I think we need?",5,1
DEAN,What?,5,1
RORY,"A song. Like a song that's ""our song"".",5,1
DEAN,Okay.,5,1
RORY,"Something romantic, but not mushy, something that will make us remember this.",5,1
DEAN,"Ah, believe me, I'm remembering this.",5,1
RORY,"Oh, I know. Okay. Perfect. So, from now on, no matter what you're doing, where you are, you'll stop and think of me w hen you hear this",5,1
DEAN,That's not gonna be our song.,5,1
RORY,"Why not? It's perfect. It's happy. It's hopeful. It has the word 'candy' in it. Hey, what is more hot than candy?",5,1
DEAN,Pick something else.,5,1
RORY,"""Who can take the sunrise… sprinkle it with dew""",5,1
DEAN,"Okay, okay, okay, okay. I'll pick something else.",5,1
RORY,No.,5,1
DEAN,"Hand it over, I can't take it anymore.",5,1
RORY,"This is what happens when the women get the remote, ah-ha!",5,1
DEAN,What was that?,5,1
LORELAI,Rory!,5,1
LORELAI,"Hey, what's going on?",5,1
RORY,Dean came over to borrow something.,5,1
DEAN,"Yeah, thanks.",5,1
RORY,You're welcome.,5,1
DEAN,"Well, ah, I should go... bye, Lorelai.",5,1
RORY,"Bye, Dean.",5,1
LORELAI,"So, what did he borrow?",5,1
RORY,"I'm sorry I didn't talk to you about it first. I - I know I promised I would, but I swear, I didn't know that this was going to happen. I mean, I didn't know he was going to show up tonight, and it just happened. It's awful for you to find out like this, I know, but everything's okay. I'm okay, and we were, you know, safe - so all those Trojan Man jokes all these years really apparently stuck. And I'm lucky, too, because Dean, he's -- well, aren't you glad that it happened with someone who's good and really loves me?",5,1
LORELAI,He's married.,5,1
RORY,You don't understand the situation.,5,1
LORELAI,Is he still married?,5,1
RORY,"Yes, but -",5,1
LORELAI,Then I understand the situation.,5,1
LORELAI,"I just want what's best for you, that's all!",5,1
RORY,You're just mad because I didn't come running to you to discuss whether or not I was ready for this step. I decided it on my own.,5,1
LORELAI,"Obviously, you weren't ready for this step.",5,1
LINDSAYVOICE,Hello? Hello? Hello?,5,1
LORELAI,Hey. Let's just talk.,5,1
RORY,No.,5,1
RICHARD,You do realize you just leapt out of a moving vehicle.,5,1
EMILY,"Everything cannot be on your schedule, Richard. Now, where is it? I know I put it in here. Aha!",5,1
RICHARD,"In all the years we've been together, I have never seen you behave as irrationally as -- Emily, I'm talking to you! Will you stop? Emily, this feud of ours has now reached comical heights that… Charlie Chaplin, himself, would find hilarious, and he's dead.",5,1
EMILY,"Don't follow me, Richard.",5,1
RICHARD,"Oh, wait, come back. Let me get you a cane and a derby.",5,1
RICHARD,What are you doing?,5,1
EMILY,"I'm looking for my European luggage, which some imbecile has chosen to hide from me.",5,1
RICHARD,What do you need your European luggage for?,5,1
EMILY,To put things in.,5,1
RICHARD,You're making a mess.,5,1
EMILY,I don't care if I'm mak ing a mess.,5,1
RICHARD,"Well, who's going to clean all this up, you?",5,1
EMILY,"Yes, me, or the maid, or perhaps Pennilyn Lott could come by after one of your clandestine luncheons and take a s*ab at it.",5,1
RICHARD,"Oh, for heaven's sakes. Not that again. She's just a friend!",5,1
EMILY,"I am going to Europe, Richard. I am going to Europe, and I'm going to have a marvelous time. I'm going to get up at10:00, and I'm going to have two glasses of wine at lunch every single day.",5,1
RICHARD,Only prostitutes have two glasses of wine at lunch.,5,1
EMILY,"Well, then buy me a b oa and drive me to Reno because I am open for business.",5,1
RICHARD,I -- I can't talk to you when you're like this. I'm going to bed.,5,1
EMILY,You go to bed. I'll go to France.,5,1
EMILY,Richard! Richard! The door is stuck! Richard! This isn't funny!,5,1
EMILY,Richard? Richard!,5,1
RICHARD,Emily?,5,1
EMILY,You locked me in .,5,1
RICHARD,I did not lock you in.,5,1
EMILY,You certainly did lock me in .,5,1
RICHARD,The door must be jammed. Did you try jiggling the knob?,5,1
EMILY,"I suppose I could do that, or you could just get the hell down here and let me out!",5,1
RICHARD,"Give me a mo ment, please.",5,1
EMILY,"If you don't come down here right now, I will climb out the window.",5,1
RICHARD,You will not climb out the window.,5,1
EMILY,I will. I will climb out the window right now.,5,1
RICHARD,Don't you dare.,5,1
EMILY,I'm doing it. I'm climbing out the window.,5,1
RICHARD,You better not climb out the window.,5,1
EMILY,Damn it.,5,1
RICHARD,"Emily Gilmore, I better not catch you climbing out the window.",5,1
EMILY,I'm out the window. I'm out the window.,5,1
RICHARD,Get down from there.,5,1
EMILY,No!,5,1
RICHARD,"Emily, get back here. Emily!",5,1
RICHARD,Are you having an aneurysm or something? Get inside and put this on.,5,1
EMILY,Get away from me!,5,1
RICHARD,"Do you seriously think after 39 years of marriage, I would resort to locking you in a basement?",5,1
EMILY,I don't know what you'd resort to. I don't know who you are at all.,5,1
RICHARD,I knew the mental illness in your family would catch up with you eventually.,5,1
EMILY,Aunt Cora was not mentally ill! She was athletic!,5,1
RICHARD,"Oh, fine.",5,1
SECURITYOFFICER,"Is there some sort of problem here, folks?",5,1
RICHARD,No. There's no problem.,5,1
SECURITYOFFICER,We got a call from some of your neighbors complaining about a disturbance.,5,1
RICHARD,We apologize. We're going inside right now.,5,1
EMILY,Do not tell me w hat to do.,5,1
SECURITYOFFICER,"Can I have your security password, please?",5,1
RICHARD,"Look, it's getting late, so either sh**t us or go away.",5,1
SECURITYOFFICER,Fine. We'll just write up a report here and be on our way.,5,1
